SampleID	Sample	SampleNo	Organism	Date_collected	ExtDate	ExtBy	PlateNo	PlateWell	Type	Zoo	F	R	DNA_Extraction_Weight_g	Gender	Stage	Ext_Blank	PCR_Neg	Keep	Mixed	OH_band	In_analysis
HH001_F11	HH001	1	HairyHead	6-Jun-21	20/12/2021	AD	2	C06	faeces	Currumbin	F11	R06	0.16	Male	Male	FALSE	FALSE	Yes	No	Y	TRUE
HH004_F06	HH004	4	HairyHead	12-Jun-21	14/12/2021	IB	1	F09	faeces	Currumbin	F06	R09	0.24	Male	Male	FALSE	FALSE	Yes	No	Y	TRUE
HH007_F06	HH007	7	HairyHead	16-Jun-21	14/12/2021	IB	1	F10	faeces	Currumbin	F06	R10	0.23	Male	Male	FALSE	FALSE	Yes	No	Y	TRUE
HH009_F06	HH009	9	HairyHead	19-Jun-21	14/12/2021	IB	1	F11	faeces	Currumbin	F06	R11	0.24	Male	Male	FALSE	FALSE	Yes	No	Y	TRUE
HH013_F11	HH013	13	HairyHead	24-Jul-21	20/12/2021	AD	2	C07	faeces	Currumbin	F11	R07	NA	Male	Male	FALSE	FALSE	No	NA	Y	TRUE
HH014_F06	HH014	14	HairyHead	25-Jul-21	14/12/2021	IB	1	F12	faeces	Currumbin	F06	R12	0.1	Male	Male	FALSE	FALSE	Yes	No	Y	TRUE
TG023_F14	TG023	23	Gunduwa	19-Jul-21	4/01/2022	IB	2	F03	faeces	Currumbin	F14	R03	0.22	Male	Male	FALSE	FALSE	No	Yes	Y	TRUE
WD001_F11	WD001	1	Wild	16-Oct-21	20/12/2021	AD	2	C08	swab	NA	F11	R08	NA	Female	NA	FALSE	FALSE	No	No	Y	FALSE
WD002_F11	WD002	2	Wild	10-Sep-21	20/12/2021	AD	2	C09	faeces	NA	F11	R09	0.28	Male	NA	FALSE	FALSE	Yes	No	Y	FALSE
WD003_F11	WD003	3	Wild	11-Aug-21	20/12/2021	AD	2	C10	faeces	NA	F11	R10	0.16	Female	NA	FALSE	FALSE	Yes	No	Y	FALSE
WD004_F11	WD004	4	Wild	13-Aug-21	20/12/2021	AD	2	C11	faeces	NA	F11	R11	0.3	Male	NA	FALSE	FALSE	Yes	No	Y	FALSE
ZymoMCExt_F01	ZymoMCExt	NA	NA	NA	NA	NA	3	A03	MockCommunity	NA	F01	R15	NA	NA	NA	FALSE	FALSE	Yes	NA	Y	FALSE
																					
